id,chart_template_id:id,code,name,user_type_id:id,reconcile
tw_1100-00-00,l10n_tw_chart_template,1100-00-00,現金及約當現金,account.data_account_type_liquidity,TRUE
tw_1101-01-00,l10n_tw_chart_template,1101-01-00,庫存現金,account.data_account_type_liquidity,TRUE
tw_1101-02-00,l10n_tw_chart_template,1101-02-00,零用金,account.data_account_type_liquidity,TRUE
tw_1102-03-00,l10n_tw_chart_template,1102-03-00,銀行存款-支票存款,account.data_account_type_liquidity,TRUE
tw_1101-02-01,l10n_tw_chart_template,1101-02-01,零用金∕週轉金(合併),account.data_account_type_liquidity,FALSE
tw_1102-01-00,l10n_tw_chart_template,1102-01-00,銀行存款-活期存款,account.data_account_type_liquidity,TRUE
tw_1102-00-00,l10n_tw_chart_template,1102-00-00,銀行存款(合併),account.data_account_type_liquidity,FALSE
tw_1102-04-00,l10n_tw_chart_template,1102-04-00,銀行存款-外匯存款,account.data_account_type_liquidity,TRUE
tw_1102-05-00,l10n_tw_chart_template,1102-05-00,銀行存款-備償專戶,account.data_account_type_liquidity,FALSE
tw_1103-00-00,l10n_tw_chart_template,1103-00-00,在途現金(合併),account.data_account_type_liquidity,FALSE
tw_1102-02-00,l10n_tw_chart_template,1102-02-00,銀行存款-定期存款,account.data_account_type_liquidity,FALSE
tw_1102-02-01,l10n_tw_chart_template,1102-02-01,定期存款,account.data_account_type_liquidity,FALSE
tw_1110-00-00,l10n_tw_chart_template,1110-00-00,分類為約當現金之銀行透支,account.data_account_type_liquidity,FALSE
tw_1110-01-00,l10n_tw_chart_template,1110-01-00,分類為約當現金之銀行透支,account.data_account_type_liquidity,FALSE
tw_1110-00-01,l10n_tw_chart_template,1110-00-01,透過損益按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1111-00-00,l10n_tw_chart_template,1111-00-00,原始認列時指定為透過損益按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1112-00-00,l10n_tw_chart_template,1112-00-00,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_1113-00-00,l10n_tw_chart_template,1113-00-00,強制按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1114-00-00,l10n_tw_chart_template,1114-00-00,強制按公允價值衡量之金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_1115-00-00,l10n_tw_chart_template,1115-00-00,持有供交易之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1116-00-00,l10n_tw_chart_template,1116-00-00,持有供交易之金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_1120-00-00,l10n_tw_chart_template,1120-00-00,透過其他綜合損益按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1121-00-00,l10n_tw_chart_template,1121-00-00,透過其他綜合損益按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1122-00-00,l10n_tw_chart_template,1122-00-00,透過其他綜合損益按公允價值衡量之金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_1125-00-00,l10n_tw_chart_template,1125-00-00,備供出售金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1126-00-00,l10n_tw_chart_template,1126-00-00,備供出售金融資產(成本)-流動,account.data_account_type_current_assets,FALSE
tw_1127-00-00,l10n_tw_chart_template,1127-00-00,備供出售金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_1129-00-00,l10n_tw_chart_template,1129-00-00,累計減損-備供出售金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1130-00-00,l10n_tw_chart_template,1130-00-00,持有至到期日金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1131-00-00,l10n_tw_chart_template,1131-00-00,持有至到期日金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1132-00-00,l10n_tw_chart_template,1132-00-00,累計減損-持有至到期日金融資產-流動,account.data_account_type_current_assets,FALSE
